country/area,project-name,fuel,unit-name,project-name-in-local-language-/-script,capacity-(mw),status,start-year,retired-year,hydrogen-capable,operator(s),owner(s),lat,lng,location-accuracy,city,state/province,region,gem-phase-id,url
United Kingdom,3Rs Walsall power station,bioenergy: refuse (municipal and industrial wastes),1,,44.0,pre-construction,2027,,,BH Energy Gap,BH Energy Gap LLP [100%],52.6086,-2.0103,exact,,England,Europe,G100000201467,https://www.gem.wiki/3Rs_Walsall_power_station
Finland,Äänekoski Bioproduct Mill power station,"bioenergy: wood & other biomass (solids), bioenergy: wood & other biomass (syngas)",1,,260.0,operating,2017,,,,Metsä Fibre Oy [100%],62.5908,25.7522,exact,,,Europe,G100000200235,https://www.gem.wiki/Äänekoski_Bioproduct_Mill_power_station
Egypt,Abu Rawash power station,bioenergy: refuse (municipal and industrial wastes),1,,30.0,pre-construction,2026,,,,Renergy Group Partners LLC,30.042122,31.095022,approximate,Abou Rawash,Giza Governorate,Africa,G100001019958,https://www.gem.wiki/Abu_Rawash_power_station
Sweden,Åbyverket power station,"bioenergy: wood & other biomass (solids), fossil liquids: waste/other oil",G3,,100.0,operating,1974,,,E.ON Värme Sverige,E.ON Värme Sverige AB [100%],59.2649,15.1772,exact,Örebro,,Europe,G100000201440,https://www.gem.wiki/Åbyverket_power_station
Italy,Acerra power station,bioenergy: biodiesel,1,,68.0,operating,2008,,,Fri-El Green Power,Fri-El Green Power SpA [100%],40.9744,14.3766,exact,,Campania,Europe,G100000200236,https://www.gem.wiki/Acerra_power_station
Italy,Acerra Waste-to-Energy power station,bioenergy: refuse (municipal and industrial wastes),1,,36.0,operating,2009,,,A2A,A2A SpA [100%],40.9791,14.3828,exact,,Campania,Europe,G100000200237,https://www.gem.wiki/Acerra_Waste-to-Energy_power_station
Italy,Acerra Waste-to-Energy power station,bioenergy: refuse (municipal and industrial wastes),2,,36.0,operating,2009,,,A2A,A2A SpA [100%],40.9791,14.3828,exact,,Campania,Europe,G100000200238,https://www.gem.wiki/Acerra_Waste-to-Energy_power_station
Italy,Acerra Waste-to-Energy power station,bioenergy: refuse (municipal and industrial wastes),3,,36.0,operating,2009,,,A2A,A2A SpA [100%],40.9791,14.3828,exact,,Campania,Europe,G100000200239,https://www.gem.wiki/Acerra_Waste-to-Energy_power_station
Netherlands,AEC Moerdijk power station,bioenergy: refuse (municipal and industrial wastes),1,,125.0,operating,1997,,,Attero Noord,,51.683,4.5805,exact,,North Brabant,Europe,G100000201408,https://www.gem.wiki/AEC_Moerdijk_power_station
Netherlands,Afval Energie Bedrijf Amsterdam power station,"bioenergy: refuse (municipal and industrial wastes), bioenergy: wastewater and sewage sludge (solids or biogas)",AEC,,39.0,operating,1993,,,AEB Exploitatie,AEB Exploitatie BV [100%],52.4011,4.7935,exact,Amsterdam,North Holland,Europe,G100000200240,https://www.gem.wiki/Afval_Energie_Bedrijf_Amsterdam_power_station
