country,url,plant,unit,chinese_name,owner,parent,capacity,status,year,subnational,lat,lng,region
Albania,https://www.gem.wiki/Porto_Romano_Power_Station,Porto Romano Power Station,Unit 1,,Enel [100%],Enel [100.0%],800,cancelled,,Durres,41.371141,19.425201,Europe
Argentina,https://www.gem.wiki/R%C3%ADo_Turbio_power_station,Río Turbio power station,Unit 1,,Yacimientos Carboníferos de Río Turbio [100%],Yacimientos Carboníferos de Río Turbio [100.0%],120,operating,2022,Santa Cruz,-51.546015,-72.231256,Americas
Argentina,https://www.gem.wiki/R%C3%ADo_Turbio_power_station,Río Turbio power station,Unit 2,,Yacimientos Carboníferos de Río Turbio [100%],Yacimientos Carboníferos de Río Turbio [100.0%],120,construction,2023,Santa Cruz,-51.546015,-72.231256,Americas
Argentina,https://www.gem.wiki/San_Nicolás_power_station,San Nicolás power station,Unit 5,,AES Argentina Generación [100%],AES Corp [100.0%],375,operating,1983,Buenos Aires,-33.35492,-60.172917,Americas
Australia,https://www.gem.wiki/Anglesea_power_station,Anglesea power station,Unit 1,,Alcoa of Australia [100%],Alcoa Corp,160,retired,1969,Victoria,-38.38655,144.182062,Oceania
Australia,https://www.gem.wiki/Arckaringa_Coal-to-Liquids_and_Power_Project,Arckaringa Coal-to-Liquids and Power Project,Phase I,,Altona Energy [100%],Altona Resources,560,cancelled,,South Australia,-27.938926,134.726094,Oceania
Australia,https://www.gem.wiki/Arckaringa_Coal-to-Liquids_and_Power_Project,Arckaringa Coal-to-Liquids and Power Project,Phase II,,Altona Energy [100%],Altona Resources,280,cancelled,,South Australia,-27.938926,134.726094,Oceania
Australia,https://www.gem.wiki/Bayswater_power_station,Bayswater power station,Plant B,,AGL Macquarie [100%],AGL Energy Ltd [100.0%],2000,cancelled,,New South Wales,-32.395,150.9492,Oceania
Australia,https://www.gem.wiki/Bayswater_power_station,Bayswater power station,Unit 1,,AGL Macquarie [100%],AGL Energy Ltd [100.0%],685,operating,1985,New South Wales,-32.3940422,150.9500828,Oceania
Australia,https://www.gem.wiki/Bayswater_power_station,Bayswater power station,Unit 2,,AGL Macquarie [100%],AGL Energy Ltd [100.0%],660,operating,1985,New South Wales,-32.3940422,150.9500828,Oceania
Australia,https://www.gem.wiki/Bayswater_power_station,Bayswater power station,Unit 3,,AGL Macquarie [100%],AGL Energy Ltd [100.0%],660,operating,1986,New South Wales,-32.3940422,150.9500828,Oceania
Australia,https://www.gem.wiki/Bayswater_power_station,Bayswater power station,Unit 4,,AGL Macquarie [100%],AGL Energy Ltd [100.0%],660,operating,1986,New South Wales,-32.3940422,150.9500828,Oceania
Australia,https://www.gem.wiki/Bluewaters_power_station,Bluewaters power station,Unit 1,,Summit Southern Cross Power Holdings [100%],Sumitomo Corp [100.0%],233,operating,2009,Western Australia,-33.332186,116.228023,Oceania
Australia,https://www.gem.wiki/Bluewaters_power_station,Bluewaters power station,Unit 2,,Summit Southern Cross Power Holdings [100%],Sumitomo Corp [100.0%],233,operating,2009,Western Australia,-33.332186,116.228023,Oceania
Australia,https://www.gem.wiki/Bluewaters_power_station,Bluewaters power station,Unit 3,,Summit Southern Cross Power Holdings [100%],Sumitomo Corp [100.0%],208,cancelled,,Western Australia,-33.332186,116.228023,Oceania
Australia,https://www.gem.wiki/Bluewaters_power_station,Bluewaters power station,Unit 4,,Summit Southern Cross Power Holdings [100%],Sumitomo Corp [100.0%],208,cancelled,,Western Australia,-33.332186,116.228023,Oceania
Australia,https://www.gem.wiki/Callide_Oxyfuel_Project,Callide Oxyfuel Project,--,,CS Energy [100%],CS Energy [100.0%],30,retired,2012,Queensland,-24.347222,150.617115,Oceania
Australia,https://www.gem.wiki/Callide_power_station,Callide power station,Phase B Unit 1,,CS Energy [100%],CS Energy [100.0%],350,operating,1989,Queensland,-24.347222,150.617115,Oceania
Australia,https://www.gem.wiki/Callide_power_station,Callide power station,Phase B Unit 2,,CS Energy [100%],CS Energy [100.0%],350,operating,1989,Queensland,-24.347222,150.617115,Oceania
Australia,https://www.gem.wiki/Callide_power_station,Callide power station,Phase C Unit 1,,CS Energy [50%]; IG Power (Callide) [50%],CS Energy [50.0%]; China Huaneng Group Co Ltd [25.0%]; Creditas Group [25.0%],460,operating,2001,Queensland,-24.347222,150.617115,Oceania
Australia,https://www.gem.wiki/Callide_power_station,Callide power station,Phase C Unit 2,,CS Energy [50%]; IG Power (Callide) [50%],CS Energy [50.0%]; China Huaneng Group Co Ltd [25.0%]; Creditas Group [25.0%],460,mothballed,2001,Queensland,-24.347222,150.617115,Oceania
Australia,https://www.gem.wiki/Collie_power_station,Collie power station,Unit 1,,Verve Energy [100%],Electricity Retail and Generation Corp,350,operating,1999,Western Australia,-33.343094,116.260847,Oceania
Australia,https://www.gem.wiki/Collinsville_(Shine_Energy)_power_station,Collinsville (Shine Energy) power station,Unit 1,,Shine Energy [100%],Shine Energy [100.0%],315,pre-permit,2028,New South Wales,-20.545051,147.804557,Oceania
Australia,https://www.gem.wiki/Collinsville_(Shine_Energy)_power_station,Collinsville (Shine Energy) power station,Unit 2,,Shine Energy [100%],Shine Energy [100.0%],315,pre-permit,2031,New South Wales,-20.545051,147.804557,Oceania
Australia,https://www.gem.wiki/Collinsville_(Shine_Energy)_power_station,Collinsville (Shine Energy) power station,Unit 3,,Shine Energy [100%],Shine Energy [100.0%],315,pre-permit,2031,New South Wales,-20.545051,147.804557,Oceania
Australia,https://www.gem.wiki/Collinsville_power_station,Collinsville power station,Unit 1,,RATCH-Australia Corporation [100%],RATCH Group PLC [100.0%],30,retired,1968,Queensland,-20.545051,147.804557,Oceania
Australia,https://www.gem.wiki/Collinsville_power_station,Collinsville power station,Unit 2,,RATCH-Australia Corporation [100%],RATCH Group PLC [100.0%],30,retired,1968,Queensland,-20.545051,147.804557,Oceania
Australia,https://www.gem.wiki/Collinsville_power_station,Collinsville power station,Unit 3,,RATCH-Australia Corporation [100%],RATCH Group PLC [100.0%],30,retired,1970,Queensland,-20.545051,147.804557,Oceania
Australia,https://www.gem.wiki/Collinsville_power_station,Collinsville power station,Unit 4,,RATCH-Australia Corporation [100%],RATCH Group PLC [100.0%],30,retired,1971,Queensland,-20.545051,147.804557,Oceania
Australia,https://www.gem.wiki/Collinsville_power_station,Collinsville power station,Unit 5,,RATCH-Australia Corporation [100%],RATCH Group PLC [100.0%],60,retired,1974,Queensland,-20.545051,147.804557,Oceania
Australia,https://www.gem.wiki/Coolimba_power_station,Coolimba power station,Unit 1,,Coolimba Power [100%],Westgen,150,cancelled,,Western Australia,-29.816667,115.266667,Oceania
Australia,https://www.gem.wiki/Coolimba_power_station,Coolimba power station,Unit 2,,Coolimba Power [100%],Westgen,150,cancelled,,Western Australia,-29.816667,115.266667,Oceania
