gem-terminal-id,gem-unit/phase-id,parent-port-name,country/area,coal-terminal-name,coal-terminal-name-(detail-or-other),capacity-(mt),status,start-year,retired-year,location-accuracy,owner,lat,lng,state/province,region,url
T1314,T01314,Port of Annaba,Algeria,Annaba Coal Terminal,,1,Operating,-,-,Exact,-,36.90051,7.775234,Annaba,Africa,https://www.gem.wiki/Annaba_Coal_Terminal
T1006,T01006,-,Australia,Balaclava Island Coal Terminal,,35,Cancelled,-,-,Approximate,Glencore,-23.560116,150.909863,Queensland,Oceania,https://www.gem.wiki/Balaclava_Island_Coal_Terminal
T1406,T01406,Port of Gladstone,Australia,Barney Point Coal Terminal,,4.5,Retired,1967,2016,Exact,Gladstone Ports Corporation,-23.843452,151.272125,Queensland,Oceania,https://www.gem.wiki/Barney_Point_Coal_Terminal
T1072,T01072,Port of Brisbane,Australia,Brisbane Coal Terminal,"Fisherman Islands Coal Terminal, Queensland Bulk Handling (QBH) Coal Export Terminal",10,Operating,1983,-,Exact,Q Port Holdings,-27.391577,153.159817,Queensland,Oceania,https://www.gem.wiki/Brisbane_Coal_Terminal
T1426,T01426,Port of Bunbury,Australia,Bunbury Berth 14 Coal Terminal,,15,Cancelled,-,-,Exact,LANCO Group,-33.31432,115.663376,Western Australia,Oceania,"https://www.gem.wiki/Berth_14_coal_export_terminal,_Bunbury"
T1069,T01069,Port of Newcastle,Australia,Carrington Coal Terminal,,25,Operating,1976,-,Exact,Port Waratah Coal Services,-32.910098,151.766074,New South Wales,Oceania,https://www.gem.wiki/Carrington_Coal_Terminal
T1073,T01073,Port of Hay Point,Australia,Dalrymple Bay Coal Terminal,,85,Operating,1983,-,Exact,Brookfield Asset Management,-21.278061,149.284184,Queensland,Oceania,https://www.gem.wiki/Dalrymple_Bay_Coal_Terminal
T1073,T01315,Port of Hay Point,Australia,Dalrymple Bay Coal Terminal,,14,Proposed,-,-,Exact,Brookfield Asset Management,-21.278061,149.284184,Queensland,Oceania,https://www.gem.wiki/Dalrymple_Bay_Coal_Terminal
T1001,T01001,Port of Derby,Australia,Derby Barge Facility,,2.5,Cancelled,-,-,Exact,Rey Resources,-17.303678,123.630105,Western Australia,Oceania,https://www.gem.wiki/Derby_Export_Facility
T1009,T01009,Port of Hay Point,Australia,Dudgeon Point Coal Terminal,,180,Cancelled,-,-,Exact,North Queensland Bulk Ports Corporation,-21.246182,149.254704,Queensland,Oceania,https://www.gem.wiki/Dudgeon_Point_Coal_Terminal
T1005,T01005,Port Alma,Australia,Fitzroy Terminal Project,,22,Cancelled,-,-,Approximate,Mitchell Group,-23.611419,150.854802,Queensland,Oceania,https://www.gem.wiki/Fitzroy_Terminal_Project
T1068,T01068,Port of Hay Point,Australia,Hay Point Coal Terminal,,55,Operating,1971,-,Exact,BHP Billiton,-21.274377,149.295503,Queensland,Oceania,https://www.gem.wiki/Hay_Point_Coal_Terminal
T1075,T01075,Port of Newcastle,Australia,Kooragang Coal Terminal,,120,Operating,1984,-,Exact,Port Waratah Coal Services,-32.877836,151.762891,New South Wales,Oceania,https://www.gem.wiki/Kooragang_Coal_Terminal
T1405,T01405,Port of Fremantle,Australia,Kwinana Bulk Terminal,,0.75,Retired,2007,2014,Exact,Fremantle Ports,-32.254765,115.745251,Western Australia,Oceania,https://www.gem.wiki/Kwinana_Bulk_Terminal
T1076,T01076,Port of Newcastle,Australia,NCIG Coal Export Terminal,,79,Operating,2010,-,Exact,"Banpu, BHP Billiton, Peabody Energy, Yancoal, Whitehaven Coal",-32.886667,151.764722,New South Wales,Oceania,https://www.gem.wiki/NCIG_Coal_Export_Terminal
T1008,T01008,Port of Newcastle,Australia,Newcastle Terminal 4,Kooragang Coal Terminal Extension,70,Cancelled,-,-,Approximate,Port Waratah Coal Services,-32.877836,151.762891,New South Wales,Oceania,https://www.gem.wiki/Newcastle_Terminal_4
T1074,T01425,Port of Abbot Point,Australia,North Queensland Export Terminal,"Abbot Point Coal Terminal, Adani Abbot Point Terminal ",10,Cancelled,-,-,Exact,Adani Group,-19.892232,148.078351,Queensland,Oceania,https://www.gem.wiki/North_Queensland_Export_Terminal
T1074,T01074,Port of Abbot Point,Australia,North Queensland Export Terminal,"Abbot Point Coal Terminal, Adani Abbot Point Terminal ",50,Operating,1984,-,Exact,Adani Group,-19.892232,148.078351,Queensland,Oceania,https://www.gem.wiki/North_Queensland_Export_Terminal
T1002,T01002,-,Australia,Point Torment Port Development,,2.5,Cancelled,-,-,Exact,Rey Resources,-17.034464,123.592794,Western Australia,Oceania,https://www.gem.wiki/Point_Torment_Port_Development
T1427,T01427,Port Anthony,Australia,Port Anthony Coal Terminal,,22,Shelved,-,-,Exact,Ancon Australia,-38.706343,146.397028,Victoria,Oceania,https://www.gem.wiki/Port_Anthony
T1071,T01071,Port Kembla,Australia,Port Kembla Coal Terminal,,18,Operating,1982,-,Exact,"Glencore, South32, Jindal Group, Centennial Coal, GFG Alliance, Peabody Energy",-34.45242,150.899484,New South Wales,Oceania,https://www.gem.wiki/Port_Kembla_Coal_Terminal
T1004,T01004,Port of Hastings,Australia,Port of Hastings Coal Terminal,,20,Cancelled,-,-,Exact,Government of Victoria,-38.306844,145.223551,Victoria,Oceania,https://www.gem.wiki/Port_of_Hastings
T1007,T01007,Port of Gladstone,Australia,RG Tanna Coal Terminal,Clinton Coal Facility,40,Cancelled,-,-,Exact,Gladstone Ports Corporation,-23.823863,151.238737,Queensland,Oceania,https://www.gem.wiki/RG_Tanna_Coal_Terminal
T1007,T01070,Port of Gladstone,Australia,RG Tanna Coal Terminal,Clinton Coal Facility,60,Operating,1980,-,Exact,Gladstone Ports Corporation,-23.823863,151.238737,Queensland,Oceania,https://www.gem.wiki/RG_Tanna_Coal_Terminal
T1003,T01003,Port Spencer,Australia,Sheep Hill Coal Terminal,,5,Cancelled,-,-,Approximate,Centrex Metals,-34.719532,135.857462,South Australia,Oceania,https://www.gem.wiki/Sheep_Hill_Deep_Water_Port
T1077,T01428,Port of Gladstone,Australia,Wiggins Island Coal Terminal,Wiggins Island Coal Export Terminal (WICET),57,Cancelled,-,-,Exact,"Aquila Resources, Glencore, New Hope Group, Wesfarmers Curragh, Yancoal",-23.820192,151.240067,Queensland,Oceania,https://www.gem.wiki/Wiggins_Island_Coal_Terminal
T1077,T01077,Port of Gladstone,Australia,Wiggins Island Coal Terminal,Wiggins Island Coal Export Terminal (WICET),27,Operating,2015,-,Exact,"Aquila Resources, Glencore, New Hope Group, Wesfarmers Curragh, Yancoal",-23.820192,151.240067,Queensland,Oceania,https://www.gem.wiki/Wiggins_Island_Coal_Terminal
T2000,T01373,Chittagong Port,Bangladesh,Bangladesh Bay Terminal,,*,Proposed,2024,-,Exact,Chittagong Port Authority,22.319079,91.763855,Chittagong,Asia,https://www.gem.wiki/Bangladesh_Bay_Terminal
T1079,T01079,Chittagong Port,Bangladesh,Chittagong Port Coal Terminal,,23,Operating,-,-,Exact,Chittagong Port Authority,22.313,91.8,Chittagong,Asia,https://www.gem.wiki/Chittagong_Port
T1049,T01049,Matarbari Port,Bangladesh,Matarbari Port Coal Terminal,,4,Construction,2027,-,Exact,"CPGCBL, Sumitomo Corporation",21.698336,91.87097,Chittagong,Asia,https://www.gem.wiki/Matarbari_Port
T1011,T01011,Port of Payra ,Bangladesh,Payra Port Coal Terminal,,*,Cancelled,2023,-,Exact,Payra Port Authority,21.935944,90.276188,Barisal,Asia,https://www.gem.wiki/Payra_Port
T1078,T01078,Port of Mongla,Bangladesh,Port of Mongla Terminal,,4.5,Operating,2021,-,Exact,Mongla Port Authority,22.4723,89.596815,Khulna,Asia,https://www.gem.wiki/Port_of_Mongla
T1010,T01010,Sonadia Port,Bangladesh,Sonadia Port Coal Terminal,,*,Cancelled,-,-,Approximate,Sumitomo Corporation,21.483333,91.9,Chittagong,Asia,https://www.gem.wiki/Sonadia_Port
T1081,T01081,Port of Ghent,Belgium,Ghent Coal Terminal,North Sea Port,17.7,Operating,-,-,Exact,North Sea Port,51.123804,3.775754,East Flanders,Europe,https://www.gem.wiki/North_Sea_Port
T2020,T11316,Port of Liege,Belgium,Liege Coal Terminal,,1,Operating,-,-,Exact,-,50.661602,5.637958,Liege,Europe,https://www.gem.wiki/Liege_Coal_Terminal
T1080,T01080,Port of Antwerp,Belgium,Port of Antwerp Coal Terminal,,1.2,Operating,-,-,Exact,Port of Antwerp,51.284592,4.31456,Antwerp,Europe,https://www.gem.wiki/Port_of_Antwerp
T1082,T01082,Port of Pecém,Brazil,Port of Pecém Coal Terminal,CIPP S.A,*,Operating,2001,-,Exact,"Development Company of the Industrial and Port Complex of Pecém, Port of Rotterdam",-3.547247786,-38.81253247,Ceará,Americas,https://www.gem.wiki/Port_of_Pec%C3%A9m
T1083,T01083,Port o Tubarão,Brazil,Port of Tubarão Coal Terminal,Porto de Tubarão,12,Operating,1966,-,Exact,"ArcelorMittal, Vale",-20.286,-40.244,Espirito Santo,Americas,https://www.gem.wiki/Port_of_Tubarao
T1012,T01012,Port of Vancouver,Canada,Fraser Surrey Docks,,4,Cancelled,-,-,Exact,Macquarie Group,49.2854,-123.0805,British Columbia,Americas,https://www.gem.wiki/Fraser_Surrey_Docks
T1050,T01050,Port of Vancouver,Canada,Neptune Bulk Terminal,Allison Project,7.5,Operating,2021,-,Exact,Teck Resources,49.3042,-123.0521,British Columbia,Americas,https://www.gem.wiki/Neptune_Bulk_Terminal_Canada
T1050,T01086,Port of Vancouver,Canada,Neptune Bulk Terminal,,12.5,Operating,1968,-,Exact,Teck Resources,49.3042,-123.0521,British Columbia,Americas,https://www.gem.wiki/Neptune_Bulk_Terminal_Canada
T1407,T01407,Port Moody,Canada,Pacific Coast Terminals,,1,Retired,2011,2013,Exact,Pacific Coast Terminals,49.2848836,-122.864399,British Columbia,Americas,https://www.gem.wiki/Pacific_Coast_Terminals
T1084,T01084,International Coal Pier,Canada,Sydney International Coal Pier,,2.3,Operating,1998,-,Exact,Nova Scotia Power (Emera),46.1636,-60.2,Nova Scotia,Americas,https://www.gem.wiki/International_Coal_Pier_Canada
T1088,T01088,Port of Thunder Bay,Canada,Thunder Bay Coal Terminal,,11,Operating,1978,-,Exact,Thunder Bay Terminals (Russel Metals),48.39,-89.215,Ontario,Americas,https://www.gem.wiki/Thunder_Bay_Coal_Terminal
T1085,T01085,Port of Prince Rupert,Canada,Trigon Coal Terminals,Ridley Terminals,18.5,Operating,1983,-,Exact,"AMCI Group, Riverstone Holdings LLC, Lax Kw’alaams Band and Metlakatla First Nations",54.2281,-130.3263,British Columbia,Americas,https://www.gem.wiki/Ridley_Terminal
T1087,T01087,Port of Vancouver,Canada,Westshore Coal Terminals,Roberts Bank,36,Operating,1970,-,Exact,Westshore Terminals Investment Corporation,49.01724946,-123.1637862,British Columbia,Americas,https://www.gem.wiki/Westshore_Terminals
T1090,T01090,Port of Huasco,Chile,Port of Huasco Coal Terminal,Puerto de Huasco; Guacolda 1 Terminal,1.73,Operating,-,-,Exact,-,-28.46902645,-71.24963346,Atacama,Americas,https://www.gem.wiki/Port_of_Huasco
T1091,T01091,Port of Mejillones,Chile,Port of Mejillones Coal Terminal,Puerto de Mejillones,2.2,Operating,2008,-,Exact,Complejo Portuario Mejillones,-23.08752557,-70.4085646,Antofagasta,Americas,https://www.gem.wiki/Port_of_Mejillones
T1089,T01089,Port of Coronel,Chile,Puerto de Coronel Coal Terminal,Puerto de Coronel,3.5,Operating,-,-,Exact,Compania Puerto de Coronel SA,-37.03247788,-73.16581075,Biobio,Americas,https://www.gem.wiki/Puerto_de_Coronel_Coal_Terminal
T1066,T01066,Puerto Ventanas,Chile,Puerto de Quintero Coal Terminal,,*,Mothballed,-,-,Exact,Puerto Ventanas,-32.75824845,-71.48615533,Valparaiso,Americas,https://www.gem.wiki/Port_of_Quintero
T2004,T01322,Tangshan Port,China,Caofeidian Coal Terminal,,50,Operating,2019,-,Exact,"Tangshan Caofeidian Coal Port Co., Ltd.",38.9628793,118.4412003,Hebei,Asia,https://www.gem.wiki/Caofeidian_Coal_Terminal
T1093,T01093,Tangshan Port,China,Caofeidian Huadian Coal Terminal,,50,Operating,2020,-,Exact,China Huadian Corporation Ltd.,38.9628793,118.4412003,Hebei,Asia,https://www.gem.wiki/Caofeidian_Coal_Terminal
T1429,T01429,Tangshan Port,China,Caofeidian Huaneng Coal Terminal,,100,Operating,2015,-,Exact,"China Huaneng Caofeidian Port Co., Ltd.",38.9628793,118.4412003,Hebei,Asia,https://www.gem.wiki/Caofeidian_Coal_Terminal
T2005,T01320,Tangshan Port,China,Caofeidian SDIC Coal Terminal,,50,Operating,2009,-,Exact,"SDIC Caofeidian Port Co., Ltd.",38.9628793,118.4412003,Hebei,Asia,https://www.gem.wiki/Caofeidian_Coal_Terminal
T2006,T01333,Port of Ningbo-Zhoushan,China,Chuanshan Port Zhongzhai Coal Terminal,,13.3,Operating,2013,-,Exact,Zhejiang Seaport Investment and Operation Group,29.898263,122.107052,Zhejiang,Asia,https://www.gem.wiki/Chuanshan_Port_Zhongzhai_Coal_Terminal
T1124,T01124,CLPGX,China,CLPGX Coal Terminal,,6,Operating,2007,-,Exact,CLP Group,21.5952129,108.3865213,Guangxi,Asia,https://www.gem.wiki/CLPGX_coal_terminal
T1124,T01319,CLPGX,China,CLPGX Coal Terminal,,6,Operating,2017,-,Exact,CLP Group,21.5952129,108.3865213,Guangxi,Asia,https://www.gem.wiki/CLPGX_coal_terminal
T1121,T01121,Fuzhou Port,China,Fuzhou Port Coal Terminal,,*,Operating,2008,-,Exact,Fuzhou Port Group,26.0054,119.4783,Fujian,Asia,https://www.gem.wiki/Fuzhou_Port
