fuel_type,technology,project,unit,project_loc,owner,parent,capacity,status,region,country,province,start_year,url,lat,lng
"fossil gas: natural gas, fossil liquids: heavy fuel oil",combined cycle,Aalen power station,CC,,Papierfabrik Palm GmbH & Co KG ,Palm Group [100.0%],77.0,operating,Europe,Germany,Baden-Württemberg,2021,https://www.gem.wiki/Aalen_power_station,48.82111,10.1181
fossil gas: natural gas,combined cycle,Aalst Syral power station,1,,Electrabel NV/SA ,ENGIE SA [100.0%],48.0,operating,Europe,Belgium,East Flanders,2000,https://www.gem.wiki/Aalst_Syral_power_station,50.93547,4.04516
fossil gas: natural gas,gas turbine,Abergelli power station,1,,Abergelli Power Ltd ,Drax Group PLC [100.0%],299.0,pre-construction,Europe,United Kingdom,Swansea (Wales),2026,https://www.gem.wiki/Abergelli_power_station,51.694979,-3.949399
fossil gas: natural gas,combined cycle,Aboño power station,CC1,,EDP España SA [50%]; Corporación Masaveu SA [50%],Corporación Masaveu SA [50.0%]; Energias de Portugal SA [50.0%],494.0,pre-construction,Europe,Spain,Asturias,2025,https://www.gem.wiki/Abo%C3%B1o_power_station,43.553557,-5.721851
fossil gas: natural gas,combined cycle,Aceca 3 power station,1,,Iberdrola Generacion SA ,Iberdrola SA [100.0%],386.0,operating,Europe,Spain,Toledo,2005,https://www.gem.wiki/Aceca_3_power_station,39.9442,-3.8558
fossil gas: natural gas,combined cycle,Aceca 4 power station,1,,Naturgy Energy Group SA ,Naturgy Energy Group SA [100.0%],373.0,operating,Europe,Spain,Toledo,2006,https://www.gem.wiki/Aceca_4_power_station,39.9427,-3.8548
fossil gas: natural gas,combined cycle,Adamow power station,GT1,,Zespół Elektrowni Pątnów Adamów Konin SA ,Zespół Elektrowni Pątnów Adamów Konin SA [100.0%],600.0,pre-construction,Europe,Poland,Wielkopolskie,2027,https://www.gem.wiki/Adamow_power_station,52.012307,18.546212
fossil gas: natural gas,combined cycle,Adana power station,1,,Enerjisa Enerji Uretim AS ,E.ON SE [50.0%]; Hacı Ömer Sabancı Holding AŞ [50.0%],131.0,operating,Asia,Türkiye,Adana,2001,https://www.gem.wiki/Adana_power_station,36.988153,35.204129
fossil gas: natural gas,gas turbine,Aghada power station,AT 1,,Electricity Supply Board ,Government of Ireland [96.9%]; other [3.1%],90.0,operating,Europe,Ireland,County Cork,1980,https://www.gem.wiki/Aghada_power_station,51.8347,-8.2362
fossil gas: natural gas,gas turbine,Aghada power station,AT 2,,Electricity Supply Board ,Government of Ireland [96.9%]; other [3.1%],90.0,operating,Europe,Ireland,County Cork,1980,https://www.gem.wiki/Aghada_power_station,51.8347,-8.2362
fossil gas: natural gas,gas turbine,Aghada power station,AT 4,,Electricity Supply Board ,Government of Ireland [96.9%]; other [3.1%],90.0,operating,Europe,Ireland,County Cork,1980,https://www.gem.wiki/Aghada_power_station,51.8347,-8.2362
