country/area,project-name,unit-name,project-name-in-local-language-/-script,unit-capacity-(mw),status,start-year,retired-year,operator,owner,lat,lng,location-accuracy,city,state/province,region,gem-unit-id,gem-location-id,url,technology
Türkiye,Afjet geothermal power plant,--,AFJET Jeotermal Enerji Santrali,2.76,operating,2018,,,Afyon Geothermal Tourism and Trade Inc,38.8439,30.42995,exact,,,Asia,G100001050530,L100001044957,https://www.gem.wiki/Afjet_geothermal_power_plant,binary cycle
Türkiye,Agri Diyadin geothermal power plant,1,,50.0,pre-construction,,,,Zorlu Enerji Elektrik Uretim AŞ,39.54302706,43.67564981,approximate,,,Asia,G100001031230,L100001026021,https://www.gem.wiki/Agri_Diyadin_geothermal_power_plant,binary cycle
Türkiye,Agri Diyadin geothermal power plant,2,,50.0,pre-construction,,,,Zorlu Enerji Elektrik Uretim AŞ,39.54302706,43.67564981,approximate,,,Asia,G100001031231,L100001026021,https://www.gem.wiki/Agri_Diyadin_geothermal_power_plant,binary cycle
Türkiye,Agri Diyadin geothermal power plant,3,,50.0,pre-construction,,,,Zorlu Enerji Elektrik Uretim AŞ,39.54302706,43.67564981,approximate,,,Asia,G100001031232,L100001026021,https://www.gem.wiki/Agri_Diyadin_geothermal_power_plant,binary cycle
El Salvador,Ahuachapán geothermal power plant,1,Central geotérmica Ahuachapán,30.0,operating,1975,,LaGeo,LaGeo [100%],13.9202,-89.8174,exact,Ahuachapan,Departamento de Ahuachapán,Americas,G100000700001,L100000700001,https://www.gem.wiki/Ahuachapán_geothermal_power_plant,flash steam - single
El Salvador,Ahuachapán geothermal power plant,2,Central geotérmica Ahuachapán,30.0,operating,1976,,LaGeo,LaGeo [100%],13.9202,-89.8174,exact,Ahuachapan,Departamento de Ahuachapán,Americas,G100000700002,L100000700001,https://www.gem.wiki/Ahuachapán_geothermal_power_plant,flash steam - single
El Salvador,Ahuachapán geothermal power plant,3,Central geotérmica Ahuachapán,35.0,operating,1980,,LaGeo,LaGeo [100%],13.9202,-89.8174,exact,Ahuachapan,Departamento de Ahuachapán,Americas,G100000700003,L100000700001,https://www.gem.wiki/Ahuachapán_geothermal_power_plant,flash steam - single
El Salvador,Ahuachapán geothermal power plant,4,Central geotérmica Ahuachapán,6.0,operating,2023,,,,13.9200001,-89.8173,exact,Ahuachapan,Departamento de Ahuachapán,Americas,G100000700333,L100000700001,https://www.gem.wiki/Ahuachapán_geothermal_power_plant,unknown type
United States,Aidlin geothermal power plant,1,,12.0,operating,1989,,,Geysers Power Co LLC [100%],38.8339,-122.881,exact,,California,Americas,G100000700462,L100000700253,https://www.gem.wiki/Aidlin_geothermal_power_plant,unknown type
United States,Aidlin geothermal power plant,2,,12.0,operating,1989,,,Geysers Power Co LLC [100%],38.8339,-122.881,exact,,California,Americas,G100000700463,L100000700253,https://www.gem.wiki/Aidlin_geothermal_power_plant,unknown type
Kenya,Akiira One geothermal power plant,1,,70.0,pre-construction,2025,,Akiira Geothermal,Frontier Energy [100%],-0.3024,36.0805,approximate,,Nakuru,Africa,G100000700004,L100000700002,https://www.gem.wiki/Akiira_One_geothermal_power_plant,binary cycle
