"","status","country","project_name","unit_name","capacity_(mw)","technology","start_year","operator","owner","lat","lng","location_accuracy","major_area_(prefecture,_district)","state/province","subregion","region","gem_location_id","gem_unit_id","other_ids_(location)","other_ids_(unit/phase)","url"
"0","operating","El Salvador","Ahuachapán geothermal power plant","1","30.0","flash steam - single","1975.0","LaGeo","LaGeo [100%]","13.9202","-89.8174","exact","","Departamento de Ahuachapán","Latin America and the Caribbean","Americas","L100000700001","G100000700001","WEPP (S&P Global Platts): 1012981, World Resources Institute: GEODB0043615","WEPP (S&P Global Platts): 1100683","https://gem.wiki/Ahuachapán_geothermal_power_plant"
"1","operating","El Salvador","Ahuachapán geothermal power plant","2","30.0","flash steam - single","1976.0","LaGeo","LaGeo [100%]","13.9202","-89.8174","exact","","Departamento de Ahuachapán","Latin America and the Caribbean","Americas","L100000700001","G100000700002","WEPP (S&P Global Platts): 1012981, World Resources Institute: GEODB0043615","WEPP (S&P Global Platts): 1100684","https://gem.wiki/Ahuachapán_geothermal_power_plant"
"2","operating","El Salvador","Ahuachapán geothermal power plant","3","35.0","flash steam - single","1980.0","LaGeo","LaGeo [100%]","13.9202","-89.8174","exact","","Departamento de Ahuachapán","Latin America and the Caribbean","Americas","L100000700001","G100000700003","WEPP (S&P Global Platts): 1012981, World Resources Institute: GEODB0043615","WEPP (S&P Global Platts): 1100685","https://gem.wiki/Ahuachapán_geothermal_power_plant"
"3","operating","El Salvador","Ahuachapán geothermal power plant","4","6.0","unknown type","2023.0","","","13.9200001","-89.8173","exact","","Departamento de Ahuachapán","Latin America and the Caribbean","Americas","L100000700001","G100000700333","WEPP (S&P Global Platts): 1012981, World Resources Institute: GEODB0043615","","https://gem.wiki/Ahuachapán_geothermal_power_plant"
"4","operating","United States","Aidlin geothermal power plant","1","12.0","unknown type","1989.0","","Geysers Power Co LLC [100%]","38.8339","-122.881","exact","CAL Fire Northern Region","California","Northern America","Americas","L100000700253","G100000700462","EIA: 52158","","https://gem.wiki/Aidlin_geothermal_power_plant"
"5","operating","United States","Aidlin geothermal power plant","2","12.0","unknown type","1989.0","","Geysers Power Co LLC [100%]","38.8339","-122.881","exact","CAL Fire Northern Region","California","Northern America","Americas","L100000700253","G100000700463","EIA: 52158","","https://gem.wiki/Aidlin_geothermal_power_plant"
"6","pre-construction","Kenya","Akiira One geothermal power plant","1","70.0","binary cycle","2025.0","Akiira Geothermal LTD","Frontier Energy [100%]","-0.3024","36.0805","approximate","","Nakuru","Sub-Saharan Africa","Africa","L100000700002","G100000700004","WEPP (S&P Global Platts): 1109253","WEPP (S&P Global Platts): 1271028","https://gem.wiki/Akiira_One_geothermal_power_plant"
"7","pre-construction","Kenya","Akiira One geothermal power plant","2","70.0","binary cycle","2025.0","Akiira Geothermal LTD","Frontier Energy [100%]","-0.3024","36.0805","approximate","","Nakuru","Sub-Saharan Africa","Africa","L100000700002","G100000700005","WEPP (S&P Global Platts): 1109253","WEPP (S&P Global Platts): 1271029","https://gem.wiki/Akiira_One_geothermal_power_plant"
"8","operating","Türkiye","Alaşehir 1 geothermal power plant","1","45.0","flash steam - double","2015.0","Zorlu Enerji","Zorlu Enerji [100%]","38.4002","28.4311","exact","","","Western Asia","Asia","L100000700003","G100000700007","World Resources Institute: WRI1018958, WEPP (S&P Global Platts): 1076085","WEPP (S&P Global Platts): 1216056","https://gem.wiki/Alaşehir_1_geothermal_power_plant"
"9","construction","Türkiye","Alaşehir 2 geothermal power plant","--","19.0","unknown type","","","Zorlu Enerji [100%]","38.4002","28.4311","approximate","Alaşehir","Manisa","Western Asia","Asia","L100000700241","G100000700431","","","https://gem.wiki/Alaşehir_2_geothermal_power_plant"
"10","pre-construction","Türkiye","Alaşehir 3 geothermal power plant","--","50.0","unknown type","","","Zorlu Enerji [100%]","38.4002","28.4311","approximate","Alaşehir","Manisa","Western Asia","Asia","L100000700242","G100000700432","","","https://gem.wiki/Alaşehir_3_geothermal_power_plant"
"11","announced","Türkiye","Alkan 2 geothermal power plant","--","10.0","unknown type","","","Zorlu Enerji [100%]","38.3504","28.5206","approximate","Alaşehir","Manisa","Western Asia","Asia","L100000700243","G100000700433","","","https://gem.wiki/Alkan_2_geothermal_power_plant"
"12","construction","Ethiopia","Aluto Langano geothermal power plant","1","35.0","unknown type","","Ethiopian Electric Power (EEP)","Ethiopian Electric Power (EEP) [100%]","7.7888","38.7952","exact","Arsi","Oromia Region","Sub-Saharan Africa","Africa","L100000700004","G100000700008","WEPP (S&P Global Platts): 1044155","WEPP (S&P Global Platts): 1165216","https://gem.wiki/Aluto_Langano_geothermal_power_plant"
"13","construction","Ethiopia","Aluto Langano geothermal power plant","2","35.0","unknown type","","Ethiopian Electric Power (EEP)","Ethiopian Electric Power (EEP) [100%]","7.7888","38.7952","exact","Arsi","Oromia Region","Sub-Saharan Africa","Africa","L100000700004","G100001005193","WEPP (S&P Global Platts): 1044155","WEPP (S&P Global Platts): 1165217","https://gem.wiki/Aluto_Langano_geothermal_power_plant"
"14","pre-construction","Philippines","Amacan geothermal power plant","--","50.0","unknown type","","","Energy Development CORP (EDC) [100%]","7.5113","125.9569","approximate","","Davao de Oro","South-eastern Asia","Asia","L100000700225","G100000700406","","","https://gem.wiki/Amacan_geothermal_power_plant"
"15","operating","United States","Amedee Geothermal Venture 1","IND","2.0","unknown type","1988.0","","Amedee Gethrm Venture I LP [100%]","40.3008","-120.105","exact","CAL Fire Northern Region","California","Northern America","Americas","L100000700254","G100000700464","EIA: 50964","","https://gem.wiki/Amedee_Geothermal_Venture_1"
"16","operating","United States","Amedee Geothermal Venture 1","SYN","2.0","unknown type","1988.0","","Amedee Gethrm Venture I LP [100%]","40.3008","-120.105","exact","CAL Fire Northern Region","California","Northern America","Americas","L100000700254","G100000700465","EIA: 50964","","https://gem.wiki/Amedee_Geothermal_Venture_1"
"17","cancelled","Indonesia","Arrow Lampung geothermal power plant","--","50.0","unknown type","","Arrow Resources Development","Arrow Resources Development [100%]","-4.5846","105.3231","approximate","","Lampung","South-eastern Asia","Asia","L100000700005","G100000700009","WEPP (S&P Global Platts): 1088302","WEPP (S&P Global Platts): 1236963","https://gem.wiki/Arrow_Lampung_geothermal_power_plant"
"18","announced","Indonesia","Atadei geothermal power plant","1","5.0","unknown type","","","PT PLN (Persero) [100%]","-8.4369","123.469","approximate","Lembata","Nusa Tenggara Timur","South-eastern Asia","Asia","L100000700198","G100000700340","","","https://gem.wiki/Atadei_geothermal_power_plant"
"19","announced","Indonesia","Atadei geothermal power plant","2","5.0","unknown type","","","PT PLN (Persero) [100%]","-8.4369","123.469","approximate","Lembata","Nusa Tenggara Timur","South-eastern Asia","Asia","L100000700198","G100000700341","","","https://gem.wiki/Atadei_geothermal_power_plant"
"20","operating","Philippines","Bac-Man geothermal power plant","Bacon-Manito 1.1","55.0","flash steam - single","1993.0","Energy Development CORP (EDC)","Energy Development CORP (EDC) [100%]","13.0547","123.9678","exact","","Sorsogon","South-eastern Asia","Asia","L100000700006","G100000700010","World Resources Institute: WRI1001889, WEPP (S&P Global Platts): 1106851","WEPP (S&P Global Platts): 1267219","https://gem.wiki/Bac-Man_geothermal_power_plant"
