country/area,name-(english),name-(other-language),design-capacity-(ttpa),status,owner,parent,coordinates,coordinate-accuracy,subnational-unit,region,url,total-reserves-(proven-and-probable,total-resource-(inferred,production-2023-(ttpa),production-2022-(ttpa),start-date,lat,lng,scaling_cap
Afghanistan,Ghoryan Mine,,unknown,proposed,unknown,--,"34.012090, 61.564895",approximate,Herat,Oceania,https://gem.wiki/Ghoryan_Mine,unknown,unknown,,,unknown,34.01209,61.564895,unknown
Afghanistan,Hajigak Mine,,unknown,proposed,unknown,--,"34.667981, 68.062676",exact,Bamyan,Oceania,https://gem.wiki/Hajigak_Mine,"110,800","1,769,900",,,unknown,34.667981,68.062676,unknown
Afghanistan,Herat Mine,,unknown,proposed,unknown,--,"34.123862, 61.681827",approximate,Herat,Oceania,https://gem.wiki/Herat_Mine,unknown,unknown,,,unknown,34.123862,61.681827,unknown
Afghanistan,Syadara Mine,,unknown,proposed,unknown,--,"34.619615, 66.896422",approximate,unknown,Oceania,https://gem.wiki/Syadara_Mine,unknown,unknown,,,unknown,34.619615,66.896422,unknown
Algeria,FERAAL Ghara Djebilet Mine,,unknown,operating,Feraal SpA [100.0%],Feraal SpA [100.0%],"26.766298, -7.333398",approximate,Tindouf,Africa,https://gem.wiki/FERAAL_Ghara_Djebilet_Mine,unknown,"1,200,000",125,125,2022,26.766298,-7.333398,unknown
Algeria,MFE Boukhdra Mine,,525,operating,Societe des Mines de Fer de l'Est SpA [100.0%],Manal SpA [79.0%]; SIDER El Hadjar SpA [21.0%],"35.756195, 8.042579",exact,Tébessa,Africa,https://gem.wiki/MFE_Boukhdra_Mine,unknown,"47,100",unknown,unknown,1926,35.756195,8.042579,525
Algeria,MFE Ouenza Mine,,"1,200",operating,Societe des Mines de Fer de l'Est SpA [100.0%],Manal SpA [79.0%]; SIDER El Hadjar SpA [21.0%],"35.944018, 8.099829",exact,Tébessa,Africa,https://gem.wiki/MFE_Ouenza_Mine,unknown,"80,300",unknown,unknown,unknown,35.944018,8.099829,1200
Algeria,SOMIFER Anini Mine,,170,operating,Societe des Mines de Fer d'Algerie SpA [100.0%],Groupe SONAREM,"36.307252, 5.170714",exact,Sétif,Africa,https://gem.wiki/SOMIFER_Anini_Mine,"3,000",unknown,unknown,unknown,unknown,36.307252,5.170714,170
Algeria,SOMIFER Chaabet el Ballout Mine,,unknown,operating,Societe des Mines de Fer d'Algerie SpA [100.0%],Groupe SONAREM,"36.402136, 8.128880",approximate,Souk Ahras,Africa,https://gem.wiki/SOMIFER_Chaabet_el_Ballout_Mine,unknown,unknown,unknown,unknown,unknown,36.402136,8.12888,unknown
Algeria,SOMIFER Khanguet Mine,,50,operating,Societe des Mines de Fer d'Algerie SpA [100.0%],Groupe SONAREM,"35.396643, 8.302091",exact,Tébessa,Africa,https://gem.wiki/SOMIFER_Khanguet_Mine,unknown,unknown,unknown,unknown,unknown,35.396643,8.302091,50
