,index,name,url,status,capacity_prod,capacity_output,owner,mtyr-gcmt_emissions,lat,lng,tracker,areas,goget_id,Status year,operator,related_cm_field,tonnes-goget_emissions,tonnes-goget-reserves_emissions,instrument,date,plume_emissions,Emissions Uncertainty (kg/hr),infra_type,infra_name,infra_url,well_id,gov_assets,subnational,infra-filter,status-legend,scaling_col,country,map_id
0,0,Airly Coal Mine,https://www.gem.wiki/Airly_Mine,operating,1.17,,Centennial Coal Company Pty Ltd,0.017,-33.1130709,150.0149367,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,0
1,1,Angus Place Coal Mine,https://www.gem.wiki/Angus_Place_Colliery,mothballed,0,,Centennial Springvale Pty Ltd [50%]; Boulder Mining Pty Ltd [50%],0.0,-33.351985,150.099356,coal-mines,Australia,,,,,,,,,,,,,,,,,,mothballed-plus,936.0249636999176,Australia,1
2,2,Baralaba Coal Mine,https://www.gem.wiki/Baralaba_coal_mine,operating,1.571,,Baralaba Coal Co,0.006,-24.13680401,149.7936125,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,2
3,3,Blair Athol Coal Mine,https://www.gem.wiki/Blair_Athol_mine,operating,2.782,,Orion Mining,0.002,-22.703221,147.54353,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,3
4,4,Bloomfield Coal Mine,https://www.gem.wiki/Bloomfield_Mine_and_Colliery,operating,0.52,,Bloomfield Collieries Pty Limited,0.002,-32.7928986,151.5841947,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,4
5,5,Bulga Coal Mine,https://www.gem.wiki/Bulga_coal_mine,operating,6.35,,Bulga Coal Management [BCM],0.022,-32.6795434,151.1000279,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,5
6,6,Byerwen Coal Mine,https://www.gem.wiki/Byerwen_Coal_Project,operating,6.197,,Byerwen Coal,0.022,-21.242828,147.835392,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,6
7,7,Callide Coal Mine,https://www.gem.wiki/Callide_mine,operating,7.593,,Batchfire Resources,0.006,-24.310921,150.622173,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,7
8,8,Cameby Downs Coal Mine,https://www.gem.wiki/Cameby_Downs_mine,operating,2.86,,Syntech Resources,0.01,-26.6181915,150.3548193,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,8
9,9,CapCoal Mine Complex,https://www.gem.wiki/Capcoal_Mining_Complex,operating,8.403,,Capcoal,0.03,-22.990997,148.580506,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,9
10,10,Carmichael Coal Project,https://www.gem.wiki/Carmichael_Coal_Project,operating,2.794,,Adani Mining Pty Ltd,0.01,-22.073611,146.329722,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,10
11,11,Caval Ridge Coal Mine,https://www.gem.wiki/Caval_Ridge_Project,operating,14.894,,BHP Billiton Mitsubishi Alliance Pty Ltd,0.052,-22.1056069,148.0475444,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,11
12,12,Collinsville Coal Mine,https://www.gem.wiki/Collinsville_Coal_mine,operating,3.583,,NC Coal Company Pty Ltd,0.013,-20.5567302,147.8148229,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,12
13,13,Commodore Coal Mine,https://www.gem.wiki/Commodore_mine,operating,3.507,,Downer EDI,0.012,-27.9343501,151.2554422,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,13
14,14,Curragh Coal Mine,https://www.gem.wiki/Curragh_Mine,operating,12.161,,Coronado Global Resources Inc,0.043,-23.493219,148.842723,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,14
15,15,Dendrobium Coal Mine,https://www.gem.wiki/Dendrobium_mine,operating,2.61,,Illawarra Coal,0.033,-34.419776,150.826135,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,15
16,16,Drake Coal Mine,https://www.gem.wiki/Drake_coal_mine,operating,5.312,,QCoal,0.019,-20.705189,147.812727,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,16
17,17,Ensham Coal Mine,https://www.gem.wiki/Ensham_mine,operating,3.91,,Sungela,0.011,-23.454464,148.497455,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,17
18,18,Glendell Coal Mine,https://www.gem.wiki/Glendell_coal_mine,operating,2.53,,Mt Owen Pty Limited,0.009,-32.45121527,151.0783194,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,18
19,19,Gregory Crinum Coal Mines,https://www.gem.wiki/Gregory_Crinum_mine,operating,2.389,,Sojitz Blue Pty Ltd,0.012,-23.1491384,148.3875874,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,19
20,20,Grosvenor Coal Mine,https://www.gem.wiki/Grosvenor_coal_project,operating,1.993,,Grosvenor,0.029,-21.97420531,148.0106197,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,20
21,21,Hunter Valley North Coal Mine,https://www.gem.wiki/Hunter_Valley_North_coal_mine,operating,4.38,,Hunter Valley Operations,0.015,-32.4657844,150.9734981,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,21
22,22,Hunter Valley South Coal Mine,https://www.gem.wiki/Hunter_Valley_South_coal_mine,operating,7.55,,Hunter Valley Operations,0.027,-32.5245107,150.9819012,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,22
23,23,Ironbark No. 1 Coal Mine,https://www.gem.wiki/Ironbark_No._1_coal_mine,operating,0.18,,Fitzroy Australia Resources Pty Ltd,0.002,-21.97648262,148.2346531,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,23
24,24,Jax Coal Mine,https://www.gem.wiki/Jax_coal_mine,operating,2.151,,Thiess,0.008,-20.713736,147.860166,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,24
25,25,Jellinbah Coal Mine,https://www.gem.wiki/Jellinbah_coal_mine,operating,4.963,,Golding Contractors,0.009,-23.406874,148.950644,coal-mines,Australia,,,,,,,,,,,,,,,,,,operating,936.0249636999176,Australia,25
