,Unnamed: 0,GEM Mine ID,name,url,status,capacity_prod,capacity_output,owners,est_emissions,lng,lat,tracker,goget_id,status_year,subnational,Climate TRACE Field Estimate Year,Climate TRACE Field Emissions Factor,areas,Fuel description,Reserves Classification (Converted),Quantity (Converted),Units (Converted),Upstream methane intensity (kg/boe),Reserves Data Year,Quantity (boe),reserves_emissions,GEM Methane Plume ID,Satellite Data Provider,Instrument,date,Provider ID,Satellite Data Provider Ref,plume_emissions,Emissions Uncertainity (kg/hr),Type of Infrastructure,Infrastructure Notes,infra_name,GEM Infrastructure Wiki,Government Well ID (Nearby),California VISTA and other Government ID Assets (Nearby),lat,infra_filter,status_legend,scaling_col
0,0,M0001,Shadashak Coal Mine,https://www.gem.wiki/Shadashak_Coal_Mine,operating,1.1,,North Coal Enterprise (NCE),0.016,35.863255,67.596674,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
1,1,M0002,Airly Coal Mine,https://www.gem.wiki/Airly_Mine,operating,1.17,,Centennial Coal Company Pty Ltd,0.017,-33.1130709,150.0149367,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
2,2,M0004,Angus Place Coal Mine,https://www.gem.wiki/Angus_Place_Colliery,mothballed,0,,Centennial Springvale Pty Ltd [50%]; Boulder Mining Pty Ltd [50%],0,-33.351985,150.099356,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mothballed-plus,936.0249636999176
3,3,M0005,Appin Coal Mine,https://www.gem.wiki/Appin_mine,operating,3.9,,Illawarra Coal,0.06,-34.211194,150.792736,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
4,4,M0006,Aquila Coal Mine,https://www.gem.wiki/Aquila_Mine,operating,3.45,,Capcoal,0.029,-22.9816055,148.5373229,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
5,5,M0007,Ashton Coal Mine,https://www.gem.wiki/Ashton_Coal_Mine,operating,0.9,,Ashton Coal Operations,0.008,-32.468942,151.078493,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
6,6,M0008,Baralaba Coal Mine,https://www.gem.wiki/Baralaba_coal_mine,operating,1.571,,Baralaba Coal Co,0.006,-24.13680401,149.7936125,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
7,7,M0010,Bengalla Coal Mine,https://www.gem.wiki/Bengalla_mine,operating,11.7,,Bengalla Mining Company,0.036,-32.268076,150.84,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
8,8,M0011,Blackwater Coal Mine,https://www.gem.wiki/Blackwater_mine,operating,14.288,,BHP Billiton Mitsubishi Alliance Pty Ltd,0.05,-23.685585,148.807361,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
9,9,M0012,Blair Athol Coal Mine,https://www.gem.wiki/Blair_Athol_mine,operating,2.782,,Orion Mining,0.002,-22.703221,147.54353,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
