country/area,wiki-name,status,production-start-year,operator,owner,parent,lat,lng,location-accuracy,"subnational-unit-(province,-state)",gem-region,unit-id,url,country-list,discovery-year,fid-year,production---oil-(million-bbl/y),production-year---oil,production---gas-(million-m³/y),production-year---gas,"production---total-(oil,-gas-and-hydrocarbons)-(million-boe/y)"
Austria,Matzen Oil and Gas Field (Austria),operating,1951,OMV,OMV (100%),OMV Aktiengesellschaft (100%),48.41667,16.71667,approximate,,Europe,OG0000001,https://www.gem.wiki/Matzen_Oil_and_Gas_Field_(Austria),,1949,,,,,,0.0
Brazil,Abalone Oil and Gas Field (Brazil),operating,2009,Shell Brasil Petróleo Ltda.,Shell Brasil (50%);ONGC Campos (27%);Qatarenergy (23%),Shell plc (50%);Oil and Natural Gas Corporation (ONGC) (27%),-21.36,-39.612,exact,Espírito Santo,Americas,OG0000002,https://www.gem.wiki/Abalone_Oil_and_Gas_Field_%28Esp%C3%ADrito_Santo%2C_Brazil%29,,2001,,0.1754359684,2023,16.15129461,2023,0.27045403459063
Brazil,Aguilhada Oil and Gas Field (Brazil),operating,1969,,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-10.686,-36.889,exact,Sergipe,Americas,OG0000006,https://www.gem.wiki/Aguilhada_Oil_and_Gas_Field_%28Sergipe%2C_Brazil%29,,1966,,0.002584669938,2023,0.0111325,2023,0.0026501624355
Brazil,Agulha Oil and Gas Field (Brazil),operating,1979,,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-4.899,-36.262,exact,Rio Grande do Norte,Americas,OG0000007,https://www.gem.wiki/Agulha_Oil_and_Gas_Field_%28Rio_Grande_do_Norte%2C_Brazil%29,,1975,,,,,,0.0
Brazil,Albacora Oil and Gas Field (Brazil),operating,1987,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-22.131,-39.961,exact,Rio de Janeiro,Americas,OG0000008,https://www.gem.wiki/Albacora_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,1984,,3.482814957,2023,39.0732865,2023,3.7126831014795
Brazil,Albacora Leste Oil and Gas Field (Brazil),operating,1998,Petro Rio Jaguar Petróleo S.A.,Petro Rio Jaguar Petróleo S.A. (90%);Repsol Sinopec (10%),PRIO (90%);Repsol Resources UK (nan%),-22.111,-39.746,exact,Rio de Janeiro,Americas,OG0000009,https://www.gem.wiki/Albacora_Leste_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,1986,,5.084113166,2023,67.80782228,2023,5.48302658447324
Brazil,Alto do Rodrigues Oil and Gas Field (Brazil),operating,1981,,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-5.316,-36.734,exact,Rio Grande do Norte,Americas,OG0000012,https://www.gem.wiki/Alto_do_Rodrigues_Oil_and_Gas_Field_%28Rio_Grande_do_Norte%2C_Brazil%29,,1981,,0.9337250858,2023,0.5791747,2023,0.9371323705601
Brazil,Anambé Oil and Gas Field (Brazil),operating,2005,,Origem Energia (100%),Origem Energia (100%),-9.737,-36.073,exact,Alagoas,Americas,OG0000013,https://www.gem.wiki/Anamb%C3%A9_Oil_and_Gas_Field_%28Alagoas%2C_Brazil%29,,2004,,0.1702482518,2023,18.82459922,2023,0.28099336901126
Brazil,Brava (non-contracted area) Oil and Gas Field (Brazil),operating,,,,,,,,Rio de Janeiro,Americas,OG0000014,https://www.gem.wiki/Brava_%28non-contracted_area%29_Oil_and_Gas_Field_%28Brazil%29,,,,0.045078157,2023,2.07482425,2023,0.05728434806275
Brazil,Tupi (non-contracted area) Oil and Gas Field (Brazil),operating,,Petrobras,,,-24.6499,-43.4723,approximate,Rio de Janeiro,Americas,OG0000016,https://www.gem.wiki/Tupi_%28non-contracted_area%29_Oil_and_Gas_Field_%28Brazil%29,,,,1.373577904,2023,42.13164989,2023,1.62143840030287
Brazil,Anequim Oil and Gas Field (Brazil),shut in,1985,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-22.39,-40.524,exact,Rio de Janeiro,Americas,OG0000018,https://www.gem.wiki/Anequim_Oil_and_Gas_Field_%28Brazil%29,,1981,,,,,,0.0
Brazil,Apraiús Oil and Gas Field (Brazil),operating,1973,Petrobras,PetroRecôncavo S.A. (100%),PetroRecôncavo S.A. (nan%),-12.275,-38.166,exact,Bahia,Americas,OG0000021,,,1973,,0.01665316961,2023,0.01834327778,2023,0.01676108311317974
Brazil,Arabaiana Oil and Gas Field (Brazil),operating,2002,Petrobras,Petrobras (65%);3R Pescada (35%),Petróleo Brasileiro S.A. (65%);3R Petroleum (35%),-4.712,-36.733,exact,Rio Grande do Norte,Americas,OG0000022,https://www.gem.wiki/Arabaiana_Oil_and_Gas_Field_%28Rio_Grande_do_Norte%2C_Brazil%29,,1986,,0.0115406065,2023,7.354229875,2023,0.054805540854625
Brazil,Arara Azul Oil and Gas Field (Brazil),operating,2015,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-4.632,-65.391,exact,Amazonas,Americas,OG0000024,,,2010,,0.2130405071,2023,82.82352078,2023,0.70029127984874
Brazil,Araracanga Oil and Gas Field (Brazil),operating,2014,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-4.756,-65.662,exact,Amazonas,Americas,OG0000025,,,2001,,0.2451098127,2023,215.0276928,2023,1.5101177294424002
Brazil,Aratum Oil and Gas Field (Brazil),operating,1987,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-5.044,-36.565,exact,Rio Grande do Norte,Americas,OG0000027,https://www.gem.wiki/Aratum_Oil_and_Gas_Field_%28Brazil%29,,1982,,,,,,0.0
Brazil,Araças Leste Oil and Gas Field (Brazil),operating,,Brasil Refinarias,Brasil Refinarias (100%),Brasil Refino (100%),-12.136,-38.109,exact,Bahia,Americas,OG0000029,https://www.gem.wiki/Ara%C3%A7as_Leste_Oil_and_Gas_Field_%28Bahia%2C_Brazil%29,,2007,,0.00043451425,2023,1.1151115,2023,0.006994715204500001
Brazil,Araçás Oil and Gas Field (Brazil),operating,1965,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-12.137,-38.171,exact,Bahia,Americas,OG0000030,https://www.gem.wiki/Ara%C3%A7%C3%A1s_Oil_and_Gas_Field_%28Bahia%2C_Brazil%29,,1965,,0.535836279,2023,46.83722431,2023,0.81137966961573
Brazil,Argonauta Oil and Gas Field (Brazil),operating,2010,Shell Brasil ,Shell Brasil (50%);ONGC Campos (27%);Qatarenergy (23%),Shell plc (50%);Oil and Natural Gas Corporation (ONGC) (27%),-21.205,-39.853,exact,Espírito Santo,Americas,OG0000031,https://www.gem.wiki/Argonauta_Oil_and_Gas_Field_%28Esp%C3%ADrito_Santo%2C_Brazil%29,,2000,,8.46083911,2023,58.64873128,2023,8.80586959612024
Brazil,Atapu Oil and Gas Field (Brazil),operating,2020,Petrobras,Petrobras (100%),Petróleo Brasileiro S.A. (100%),-24.952,-42.469,exact,Rio de Janeiro,Americas,OG0000036,https://www.gem.wiki/Atapu_Oil_and_Gas_Field_%28Rio_de_Janeiro%2C_Brazil%29,,2013,,16.15331904,2023,388.3451891,2023,18.4379537874753
