Date Last Researched,Research Status,Researcher,Country,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Capacity [ref],Status,Status [ref],Reactor Type,Reactor Type [ref],Model,Model [ref],Construction Start Date,Construction Start Date [ref],First Criticality Date,First Criticality Date [ref],First Grid Connection,First Grid Connection [ref],Commercial Operation Date,Commercial Operation Date [ref],Retirement Date,Retirement Date [ref],Planned Retirement,Cancellation Year,Cancellation Year [ref],Owner,Owner [ref],Owner Name in Local Language / Script,Operator,Operator [ref],Operator Name in Local Language / Script,Reference Net Capacity (MW),Reference Net Capacity (MW) [ref],Design Net Capacity (MW),Design Net Capacity (MW) [ref],Thermal Capacity (MWt),Thermal Capacity (MWt) [ref],Employment Notes,Employment Notes [ref],Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,Location [ref],WEPP location ID,WEPP unit ID,Other IDs (location),Other IDs (unit),Internal Notes,GEM location ID,GEM unit ID,Wiki URL
2024-05-06,no changes,Ye Huang,China,10MW High Temperature Gas-cooled Reactor Test Module (HTR-10) nuclear power plant,--,10兆瓦高温气冷实验堆,,10.0,https://www.cas.cn/xw/zyxw/tpxw/200301/t20030110_1011524.shtml,operating,https://www.cas.cn/xw/zyxw/tpxw/200301/t20030110_1011524.shtml,high temperature gas reactor,https://www.inet.tsinghua.edu.cn/zdxm/MVgwql/xmjj.htm,HTR-10,https://www.zgbk.com/ecph/words?SiteID=1&ID=302417&SubID=164266,1995-06-01,https://www.inet.tsinghua.edu.cn/zdxm/MVgwql/xmjj.htm,2000,https://www.inet.tsinghua.edu.cn/zdxm/MVgwql/xmjj.htm,2013-01-07,https://www.cas.cn/xw/zyxw/tpxw/200301/t20030110_1011524.shtml,2013,https://www.cas.cn/xw/zyxw/tpxw/200301/t20030110_1011524.shtml,,,,,,Institute of Nuclear and New Energy Technology [100%],https://www.cas.cn/xw/zyxw/tpxw/200301/t20030110_1011524.shtml,清华大学核能技术设计研究院,Institute of Nuclear and New Energy Technology,https://www.cas.cn/xw/zyxw/tpxw/200301/t20030110_1011524.shtml,清华大学核能技术设计研究院,,,,,,,,,40.0032270,116.3354960,approximate,,Haidian District,N/A,Beijing,Eastern Asia,Asia,https://www.inet.tsinghua.edu.cn/zdxm/MVgwql/xmjj.htm,,,,,,L100000500387,G100000501065,https://www.gem.wiki/10MW_High_Temperature_Gas-cooled_Reactor_Test_Module_(HTR-10)_nuclear_power_plant
2024-05-09,no changes,Vanessa Levy,Sweden,Agesta nuclear power plant,--,,,12.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=528,retired,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=528,pressurized heavy water reactor,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=528,unknown,,1957-12-01,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=528,1963-07-17,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=528,1964-05-01,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=528,1964-05-01,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=528,1974-06-02,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=528,,,,Vattenfall AB [100%],https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=528,,Svafo AB,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=528,,10,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=528,9,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=528,80,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=528,,,59.2062000,18.0814000,exact,,Stockholm County,,,Northern Europe,Europe,https://goo.gl/maps/7PL2JfXK4QNYacbE8,1076412,1216584,,,Phase --: Auto-scrape,L100000500255,G100000500603,https://www.gem.wiki/Agesta_nuclear_power_plant
2024-05-13,no changes,Vanessa Levy,Russia,Akademik Lomonosov nuclear power plant,1,,,35.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=895,operating,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=895,pressurized water reactor,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=895,KLT-40S 'Floating',https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=895,2007-04-15,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=895,2018-11-02,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=895,2019-12-19,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=895,2020-05-22,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=895,,,,,,Rosatom [100%],https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=895,,Rosenergoatom,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=895,,32,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=895,30,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=895,150,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=895,,,69.7086000,170.3011000,exact,,Pevek urban district,,Chukotka Autonomous Okrug,Eastern Europe,Europe,https://goo.gl/maps/Mt3RVacdcQSfQUus9,1053364,1140100,,,"Phase 1: Auto-scrape

Phase 2: Auto-scrape",L100000500250,G100000500596,https://www.gem.wiki/Akademik_Lomonosov_nuclear_power_plant
2024-05-13,no changes,Vanessa Levy,Russia,Akademik Lomonosov nuclear power plant,2,,,35.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=896,operating,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=896,pressurized water reactor,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=896,KLT-40S 'Floating',https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=896,2007-04-15,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=896,2018-11-08,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=896,2019-12-19,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=896,2020-05-22,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=896,,,,,,Rosatom [100%],https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=896,,Rosenergoatom,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=896,,32,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=896,30,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=896,150,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=896,,,69.7086000,170.3011000,exact,,Pevek urban district,,Chukotka Autonomous Okrug,Eastern Europe,Europe,https://goo.gl/maps/Mt3RVacdcQSfQUus9,1053364,1140101,,,"Phase 1: Auto-scrape

Phase 2: Auto-scrape",L100000500250,G100000500597,https://www.gem.wiki/Akademik_Lomonosov_nuclear_power_plant
2024-05-23,updated,Janna Smith,Türkiye,Akkuyu nuclear power plant,1,,,1200.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=553,construction,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=553,pressurized water reactor,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=553,VVER V-509,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=553,2018-04-03,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=553,,,,,2025,https://www.world-nuclear-news.org/Articles/Commissioning-work-is-beginning-at-Akkuyu-1,,,,,,Akkuyu Nuclear Joint Stock Company (JSC) [100%],https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=553,,Akkuyu Nuclear JSC,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=553,,1114,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=553,1114,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=553,3200,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=553,,,36.1447000,33.5402000,exact,Büyükeceli,,,Mersin Province,Western Asia,Asia,https://goo.gl/maps/WTbej9tVW6TFyCj57,1065750,1197022,,,"Phase 1: Auto-scrape

Phase 2: Auto-scrape

Phase 3: Auto-scrape

Phase 4: Auto-scrape",L100000500093,G100000500181,https://www.gem.wiki/Akkuyu_nuclear_power_plant
2024-05-23,updated,Janna Smith,Türkiye,Akkuyu nuclear power plant,2,,,1200.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1080,construction,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1080,pressurized water reactor,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1080,VVER V-509,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1080,2020-04-08,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1080,,,,,2024,https://world-nuclear.org/information-library/country-profiles/countries-t-z/turkey.aspx,,,,,,Akkuyu Nuclear Joint Stock Company (JSC) [100%],https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1080,,Akkuyu Nuclear JSC,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1080,,1114,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1080,1114,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1080,3200,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1080,,,36.1447000,33.5402000,exact,Büyükeceli,,,Mersin Province,Western Asia,Asia,https://goo.gl/maps/WTbej9tVW6TFyCj57,1065750,1197023,,,"Phase 1: Auto-scrape

Phase 2: Auto-scrape

Phase 3: Auto-scrape

Phase 4: Auto-scrape",L100000500093,G100000500182,https://www.gem.wiki/Akkuyu_nuclear_power_plant
2024-05-23,updated,Janna Smith,Türkiye,Akkuyu nuclear power plant,3,,,1200.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1081,construction,"https://www.world-nuclear-news.org/Articles/Akkuyu-3-reactor-pressure-vessel-delivered, https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1081",pressurized water reactor,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1081,VVER V-509,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1081,2021-03-10,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1081,,,,,2025,https://world-nuclear.org/information-library/country-profiles/countries-t-z/turkey.aspx,,,,,,Akkuyu Nuclear Joint Stock Company (JSC) [100%],https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1081,,Akkuyu Nuclear JSC,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1081,,1114,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1081,1114,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1081,3200,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1081,,,36.1447000,33.5402000,exact,Büyükeceli,,,Mersin Province,Western Asia,Asia,https://goo.gl/maps/WTbej9tVW6TFyCj57,1065750,1197024,,,"Phase 1: Auto-scrape

Phase 2: Auto-scrape

Phase 3: Auto-scrape

Phase 4: Auto-scrape",L100000500093,G100000500183,https://www.gem.wiki/Akkuyu_nuclear_power_plant
2024-06-20,no changes,Joe Bernardi,Türkiye,Akkuyu nuclear power plant,4,,,1200.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1082,construction,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1082,pressurized water reactor,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1082,VVER V-509,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1082,2022-07-21,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1082,,,,,2026,https://world-nuclear.org/information-library/country-profiles/countries-t-z/turkey.aspx,,,,,,Akkuyu Nuclear Joint Stock Company (JSC) [100%],https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1082,,Akkuyu Nuclear JSC,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1082,,1114,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1082,1114,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1082,3200,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1082,,,36.1447000,33.5402000,exact,Büyükeceli,,,Mersin Province,Western Asia,Asia,https://goo.gl/maps/WTbej9tVW6TFyCj57,1065750,1221036,,,"Phase 1: Auto-scrape

Phase 2: Auto-scrape

Phase 3: Auto-scrape

Phase 4: Auto-scrape",L100000500093,G100000500184,https://www.gem.wiki/Akkuyu_nuclear_power_plant
2024-05-22,no changes,Janna Smith,Kazakhstan,Aktau nuclear power plant,--,,,90.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=414,retired,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=414,fast breeder reactor,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=414,BN-350,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=414,1964-10-01,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=414,1972-11-01,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=414,1973-07-16,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=414,1973-07-16,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=414,1999-04-22,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=414,,,,Ministry Of Energy (the Republic Of Kazakhstan) [100%],https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=414,,Mangistau Atomic Energy Complex; Kazatomprom,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=414,,52,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=414,52,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=414,1000,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=414,,,43.6092000,51.2820100,exact,Aktau,Munaily District,,Mangystau Region,Central Asia,Asia,https://www.world-nuclear.org/reactor/default.aspx/AKTAU,1020637,1100908,,,Phase --: Auto-scrape,L100000500211,G100000500513,https://www.gem.wiki/Aktau_nuclear_power_plant
2024-05-29,no changes,Janna Smith,United States,Alan R. Barton nuclear power plant,1,,"Barton, Barton Chilton",1159.0,https://web.archive.org/web/20091009033233/http://tonto.eia.doe.gov/ftproot/nuclear/043697.pdf,cancelled,https://web.archive.org/web/20091009033233/http://tonto.eia.doe.gov/ftproot/nuclear/043697.pdf,boiling water reactor,https://en.wikipedia.org/wiki/Alan_R._Barton_Plant,unknown,,,,,,,,,,,,,1977,https://web.archive.org/web/20091009033233/http://tonto.eia.doe.gov/ftproot/nuclear/043697.pdf,Alabama Power [100%],https://web.archive.org/web/20091009033233/http://tonto.eia.doe.gov/ftproot/nuclear/043697.pdf,,Alabama Power,https://web.archive.org/web/20091009033233/http://tonto.eia.doe.gov/ftproot/nuclear/043697.pdf,,,,,,3579,https://inis.iaea.org/search/search.aspx?orig_q=RN:20012576,,,32.7500100,-86.4000100,exact,,Elmore County,,Alabama,Northern America,Americas,https://www.osti.gov/servlets/purl/5433250,58869,35658,,,,L100000500460,G100000501328,https://www.gem.wiki/Alan_R._Barton_nuclear_power_plant
