country,project-name,unit-name,capacity-(mw),status,reactor-type,model,owner,operator,lat,lng,location-accuracy,state/province,region,url,areas-subnat-sat-display
China,10MW High Temperature Gas-cooled Reactor Test Module (HTR-10) nuclear power plant,--,10.0,operating,high temperature gas reactor,HTR-10,Institute of Nuclear and New Energy Technology [100%],Institute of Nuclear and New Energy Technology,40.003227,116.335496,approximate,Beijing,Asia,https://www.gem.wiki/10MW_High_Temperature_Gas-cooled_Reactor_Test_Module_(HTR-10)_nuclear_power_plant,"Beijing, China"
Sweden,Agesta nuclear power plant,--,12.0,retired,pressurized heavy water reactor,unknown,Vattenfall AB [100%],Svafo AB,59.2062,18.0814,exact,,Europe,https://www.gem.wiki/Agesta_nuclear_power_plant,Sweden
Russia,Akademik Lomonosov nuclear power plant,1,35.0,operating,pressurized water reactor,KLT-40S 'Floating',Rosatom [100%],Rosenergoatom,69.7086,170.3011,exact,Chukotka Autonomous Okrug,Europe,https://www.gem.wiki/Akademik_Lomonosov_nuclear_power_plant,"Chukotka Autonomous Okrug, Russia"
Russia,Akademik Lomonosov nuclear power plant,2,35.0,operating,pressurized water reactor,KLT-40S 'Floating',Rosatom [100%],Rosenergoatom,69.7086,170.3011,exact,Chukotka Autonomous Okrug,Europe,https://www.gem.wiki/Akademik_Lomonosov_nuclear_power_plant,"Chukotka Autonomous Okrug, Russia"
Türkiye,Akkuyu nuclear power plant,1,1200.0,construction,pressurized water reactor,VVER V-509,Akkuyu Nuclear Joint Stock Company (JSC) [100%],Akkuyu Nuclear JSC,36.1447,33.5402,exact,Mersin Province,Asia,https://www.gem.wiki/Akkuyu_nuclear_power_plant,"Mersin Province, Türkiye"
Türkiye,Akkuyu nuclear power plant,2,1200.0,construction,pressurized water reactor,VVER V-509,Akkuyu Nuclear Joint Stock Company (JSC) [100%],Akkuyu Nuclear JSC,36.1447,33.5402,exact,Mersin Province,Asia,https://www.gem.wiki/Akkuyu_nuclear_power_plant,"Mersin Province, Türkiye"
Türkiye,Akkuyu nuclear power plant,3,1200.0,construction,pressurized water reactor,VVER V-509,Akkuyu Nuclear Joint Stock Company (JSC) [100%],Akkuyu Nuclear JSC,36.1447,33.5402,exact,Mersin Province,Asia,https://www.gem.wiki/Akkuyu_nuclear_power_plant,"Mersin Province, Türkiye"
Türkiye,Akkuyu nuclear power plant,4,1200.0,construction,pressurized water reactor,VVER V-509,Akkuyu Nuclear Joint Stock Company (JSC) [100%],Akkuyu Nuclear JSC,36.1447,33.5402,exact,Mersin Province,Asia,https://www.gem.wiki/Akkuyu_nuclear_power_plant,"Mersin Province, Türkiye"
Kazakhstan,Aktau nuclear power plant,--,90.0,retired,fast breeder reactor,BN-350,Ministry Of Energy (the Republic Of Kazakhstan) [100%],Mangistau Atomic Energy Complex; Kazatomprom,43.6092,51.28201,exact,Mangystau Region,Asia,https://www.gem.wiki/Aktau_nuclear_power_plant,"Mangystau Region, Kazakhstan"
United States,Alan R. Barton nuclear power plant,1,1159.0,cancelled,boiling water reactor,unknown,Alabama Power [100%],Alabama Power,32.75001,-86.40001,exact,Alabama,Americas,https://www.gem.wiki/Alan_R._Barton_nuclear_power_plant,"Alabama, United States"
United States,Alan R. Barton nuclear power plant,2,1159.0,cancelled,boiling water reactor,unknown,Alabama Power [100%],Alabama Power,32.75001,-86.40001,exact,Alabama,Americas,https://www.gem.wiki/Alan_R._Barton_nuclear_power_plant,"Alabama, United States"
United States,Alan R. Barton nuclear power plant,3,1159.0,cancelled,boiling water reactor,unknown,Alabama Power [100%],Alabama Power,32.75001,-86.40001,exact,Alabama,Americas,https://www.gem.wiki/Alan_R._Barton_nuclear_power_plant,"Alabama, United States"
United States,Alan R. Barton nuclear power plant,4,1159.0,cancelled,boiling water reactor,unknown,Alabama Power [100%],Alabama Power,32.75001,-86.40001,exact,Alabama,Americas,https://www.gem.wiki/Alan_R._Barton_nuclear_power_plant,"Alabama, United States"
Canada,Alberta nuclear power plant,1,315.0,announced,small modular reactor,BWRX-300,Capital Power Corp; Ontario Power Generation Inc,,53.534,-113.489,approximate,,Americas,https://www.gem.wiki/Alberta_nuclear_power_plant,Canada
Canada,Alberta nuclear power plant,2,315.0,announced,small modular reactor,BWRX-300,Capital Power Corp; Ontario Power Generation Inc,,53.534,-113.489,approximate,,Americas,https://www.gem.wiki/Alberta_nuclear_power_plant,Canada
United States,Allens Creek nuclear power plant,1,1150.0,cancelled,boiling water reactor,unknown,Houston Lighting & Power CO [100%],,29.675,-96.1022,exact,Texas,Americas,https://www.gem.wiki/Allens_Creek_nuclear_power_plant,"Texas, United States"
United States,Allens Creek nuclear power plant,2,1150.0,cancelled,boiling water reactor,unknown,Houston Lighting & Power CO [100%],,29.675,-96.1022,exact,Texas,Americas,https://www.gem.wiki/Allens_Creek_nuclear_power_plant,"Texas, United States"
Spain,Almaraz nuclear power plant,1,1049.0,operating,pressurized water reactor,WH 3LP,Iberdrola; Endesa; Gas Natural [100%],Centrales Nucleares Almaraz-Trillo,39.807,-5.6986,exact,Extremadura,Europe,https://www.gem.wiki/Almaraz_nuclear_power_plant,"Extremadura, Spain"
Spain,Almaraz nuclear power plant,2,1044.0,operating,pressurized water reactor,WH 3LP,Iberdrola; Endesa; Gas Natural [100%],Centrales Nucleares Almaraz-Trillo,39.807,-5.6986,exact,Extremadura,Europe,https://www.gem.wiki/Almaraz_nuclear_power_plant,"Extremadura, Spain"
United States,Alvin W Vogtle nuclear power plant,1,1229.0,operating,pressurized water reactor,WH 4LP (DRYAMB),Georgia Power Co [100%],Southern Nuclear Operating Company INC,33.13001,-81.7729,exact,Georgia,Americas,https://www.gem.wiki/Alvin_W_Vogtle_nuclear_power_plant,"Georgia, United States"
United States,Alvin W Vogtle nuclear power plant,2,1229.0,operating,pressurized water reactor,WH 4LP (DRYAMB),Georgia Power Co [100%],Southern Nuclear Operating Company INC,33.13001,-81.7729,exact,Georgia,Americas,https://www.gem.wiki/Alvin_W_Vogtle_nuclear_power_plant,"Georgia, United States"
United States,Alvin W Vogtle nuclear power plant,3,1250.0,operating,pressurized water reactor,AP-1000,Georgia Power Co [100%],Southern Nuclear Operating Company INC,33.1429,-81.7681,exact,Georgia,Americas,https://www.gem.wiki/Alvin_W_Vogtle_nuclear_power_plant,"Georgia, United States"
United States,Alvin W Vogtle nuclear power plant,4,1250.0,operating,pressurized water reactor,AP-1000,Georgia Power Co [100%],Southern Nuclear Operating Company INC,33.1429,-81.7681,exact,Georgia,Americas,https://www.gem.wiki/Alvin_W_Vogtle_nuclear_power_plant,"Georgia, United States"
Brazil,Angra nuclear power plant,1,640.0,operating,pressurized water reactor,WH 2LP,Eletrobras Eletronuclear SA [100%],Eletrobras Eletronuclear SA,-23.0069,-44.4585,exact,Rio de Janeiro,Americas,https://www.gem.wiki/Angra_nuclear_power_plant,"Rio de Janeiro, Brazil"
Brazil,Angra nuclear power plant,2,1350.0,operating,pressurized water reactor,PRE KONVOI,Eletrobras Eletronuclear SA [100%],Eletrobras Eletronuclear SA,-23.0077,-44.4598,exact,Rio de Janeiro,Americas,https://www.gem.wiki/Angra_nuclear_power_plant,"Rio de Janeiro, Brazil"
Brazil,Angra nuclear power plant,3,1405.0,construction,pressurized water reactor,PRE KONVOI,Eletrobras Eletronuclear SA [100%],Eletrobras Eletronuclear SA,-23.0091,-44.47201,exact,Rio de Janeiro,Americas,https://www.gem.wiki/Angra_nuclear_power_plant,"Rio de Janeiro, Brazil"
China,Anhui Wuhu nuclear power plant,1-1,1250.0,cancelled,pressurized water reactor,AP-1000,China General Nuclear Power Group Co Ltd [100%],Anhui Wuhu Nuclear Power CO LTD,31.1123,118.0171,approximate,Anhui,Asia,https://www.gem.wiki/Anhui_Wuhu_nuclear_power_plant,"Anhui, China"
China,Anhui Wuhu nuclear power plant,1-2,1250.0,cancelled,pressurized water reactor,AP-1000,China General Nuclear Power Group Co Ltd [100%],Anhui Wuhu Nuclear Power CO LTD,31.1123,118.0171,approximate,Anhui,Asia,https://www.gem.wiki/Anhui_Wuhu_nuclear_power_plant,"Anhui, China"
China,Anhui Wuhu nuclear power plant,2-3,1250.0,cancelled,pressurized water reactor,AP-1000,China General Nuclear Power Group Co Ltd [100%],Anhui Wuhu Nuclear Power CO LTD,31.1123,118.0171,approximate,Anhui,Asia,https://www.gem.wiki/Anhui_Wuhu_nuclear_power_plant,"Anhui, China"
China,Anhui Wuhu nuclear power plant,2-4,1250.0,cancelled,pressurized water reactor,AP-1000,China General Nuclear Power Group Co Ltd [100%],Anhui Wuhu Nuclear Power CO LTD,31.1123,118.0171,approximate,Anhui,Asia,https://www.gem.wiki/Anhui_Wuhu_nuclear_power_plant,"Anhui, China"
United States,Arkansas Nuclear One nuclear power plant,1,903.0,operating,pressurized water reactor,B&W LLP (DRYAMB),Entergy Arkansas INC [100%],Entergy Nuclear Operations INC,35.311,-93.2351,exact,Arkansas,Americas,https://www.gem.wiki/Arkansas_Nuclear_One_nuclear_power_plant,"Arkansas, United States"
United States,Arkansas Nuclear One nuclear power plant,2,1065.0,operating,pressurized water reactor,CE 2LP (DRYAMB),Entergy Arkansas INC [100%],Entergy Nuclear Operations INC,35.311,-93.2351,exact,Arkansas,Americas,https://www.gem.wiki/Arkansas_Nuclear_One_nuclear_power_plant,"Arkansas, United States"
Armenia,Armenian nuclear power plant,1,408.0,retired,pressurized water reactor,VVER V-270,Ministry Of Territorial Administration And Infrastructure [100%],Closed Joint Stock Company Armenian NPP,40.1817,44.1423,exact,Armavir Province,Asia,https://www.gem.wiki/Armenian_nuclear_power_plant,"Armavir Province, Armenia"
Armenia,Armenian nuclear power plant,2,448.0,operating,pressurized water reactor,VVER V-270,Ministry Of Territorial Administration And Infrastructure [100%],Closed Joint Stock Company Armenian NPP,40.1817,44.1423,exact,Armavir Province,Asia,https://www.gem.wiki/Armenian_nuclear_power_plant,"Armavir Province, Armenia"
Armenia,Armenian nuclear power plant,3,1200.0,announced,unknown,unknown,,,40.1817,44.1423,exact,Armavir Province,Asia,https://www.gem.wiki/Armenian_nuclear_power_plant,"Armavir Province, Armenia"
Spain,Ascó nuclear power plant,1,1033.0,operating,pressurized water reactor,WH 3LP,Endesa SA [100%],Asociación Nuclear Ascó-Vandellós AIE,41.1993,0.5694,exact,Catalonia,Europe,https://www.gem.wiki/Ascó_nuclear_power_plant,"Catalonia, Spain"
Spain,Ascó nuclear power plant,2,1027.0,operating,pressurized water reactor,WH 3LP,Endesa; Iberdrola [100%],Asociación Nuclear Ascó-Vandellós AIE,41.1993,0.5694,exact,Catalonia,Europe,https://www.gem.wiki/Ascó_nuclear_power_plant,"Catalonia, Spain"
Japan,Ashihama nuclear power plant,1,1300.0,cancelled,unknown,unknown,Chubu Electric Power CO INC [100%],,34.2203,136.4263,exact,,Asia,https://www.gem.wiki/Ashihama_nuclear_power_plant,Japan
Japan,Ashihama nuclear power plant,2,1300.0,cancelled,unknown,unknown,Chubu Electric Power CO INC [100%],,34.2203,136.4263,exact,,Asia,https://www.gem.wiki/Ashihama_nuclear_power_plant,Japan
Belarus,Astravets nuclear power plant,1,1194.0,operating,pressurized water reactor,VVER V-491,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant"" [100%]","Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",54.7598,26.0937,exact,Hrodna Region,Europe,https://www.gem.wiki/Astravets_nuclear_power_plant,"Hrodna Region, Belarus"
